127.0.0.1 - - [27/Jun/2021:17:59:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:01:54 +0900] "GET /reboard/regist HTTP/1.1" 405 825
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:01:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:02:03 +0900] "GET /reboard/list.jsp HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:02:05 +0900] "GET /reboard/detail.jsp?reboard_id=25 HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:02:08 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:02:16 +0900] "GET /reboard/detail.jsp?reboard_id=24 HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:02:20 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:18:51 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:21:37 +0900] "GET /reboard/detail.jsp?reboard_id=24 HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:26:15 +0900] "GET /reboard/detail.jsp?reboard_id=24 HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:45:58 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:46:40 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:47:06 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:47:09 +0900] "GET /reboard/detail.jsp?reboard_id=25 HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:47:10 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:47:17 +0900] "GET /reboard/detail.jsp?reboard_id=25 HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [27/Jun/2021:18:47:17 +0900] "GET /reboard/reply.jsp HTTP/1.1" 200 2873
